Anno_Incidente,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Numero incidenti,Totale morti,Totale Feriti
2013,12,VA,12026,BUSTO ARSIZIO,349,1,474
2013,14,SO,14061,SONDRIO,71,0,92
2013,15,MI,15166,PADERNO DUGNANO,185,4,269
2013,16,BG,16024,BERGAMO,851,4,1165
2013,18,PV,18110,PAVIA,391,2,508
2013,97,LC,97042,LECCO,235,2,300
2013,108,MB,108033,MONZA,722,4,945
2013,16,BG,16198,SERIATE,85,1,120
2013,17,BS,17067,DESENZANO DEL GARDA,140,1,192
2013,15,MI,15209,SESTO SAN GIOVANNI,115,2,133
2013,108,MB,108050,VIMERCATE,96,1,125
2013,13,CO,13143,MARIANO COMENSE,80,0,106
2013,15,MI,15070,CERNUSCO SUL NAVIGLIO,100,1,140
2013,16,BG,16219,TREVIGLIO,140,4,190
2013,15,MI,15032,BRESSO,57,3,63
2013,15,MI,15189,ROZZANO,141,0,200
2013,15,MI,15105,GARBAGNATE MILANESE,72,0,97
2013,18,PV,18182,VOGHERA,181,3,268
2013,108,MB,108034,MUGGIO',60,0,72
2013,12,VA,12070,GALLARATE,306,1,414
2013,13,CO,13041,CANTU',121,0,155
2013,15,MI,15146,MILANO,9361,32,12303
2013,15,MI,15036,BUCCINASCO,62,1,75
2013,15,MI,15192,SAN DONATO MILANESE,100,1,147
2013,108,MB,108023,DESIO,135,1,184
2013,17,BS,17133,PALAZZOLO SULL'OGLIO,72,2,101
2013,98,LO,98031,LODI,196,3,285
2013,108,MB,108024,GIUSSANO,111,0,161
2013,15,MI,15175,PIOLTELLO,75,2,104
2013,108,MB,108035,NOVA MILANESE,72,0,99
2013,108,MB,108028,LISSONE,159,1,226
2013,15,MI,15081,COLOGNO MONZESE,170,6,215
2013,15,MI,15116,LAINATE,69,1,91
2013,12,VA,12119,SARONNO,149,1,202
2013,108,MB,108012,BRUGHERIO,105,1,157
2013,108,MB,108027,LIMBIATE,95,0,132
2013,15,MI,15118,LEGNANO,260,0,344
2013,15,MI,15130,MAGENTA,74,1,92
2013,15,MI,15093,CORSICO,148,2,204
2013,15,MI,15195,SAN GIULIANO MILANESE,199,2,304
2013,20,MN,20030,MANTOVA,266,1,347
2013,108,MB,108040,SEVESO,53,0,72
2013,108,MB,108019,CESANO MADERNO,101,0,146
2013,20,MN,20017,CASTIGLIONE DELLE STIVIERE,48,1,65
2013,15,MI,15206,SENAGO,55,1,75
2013,15,MI,15002,ABBIATEGRASSO,105,3,128
2013,15,MI,15027,BOLLATE,107,2,152
2013,15,MI,15168,PARABIAGO,99,1,137
2013,15,MI,15074,CESANO BOSCONE,67,1,85
2013,19,CR,19036,CREMONA,433,0,577
2013,108,MB,108039,SEREGNO,197,1,264
2013,20,MN,20065,SUZZARA,87,3,143
2013,15,MI,15157,NOVATE MILANESE,64,0,95
2013,15,MI,15182,RHO,244,4,338
2013,15,MI,15205,SEGRATE,123,1,172
2013,12,VA,12133,VARESE,365,3,493
2013,12,VA,12040,CASSANO MAGNAGO,77,2,110
2013,17,BS,17029,BRESCIA,910,9,1183
2013,15,MI,15077,CINISELLO BALSAMO,335,2,444
2013,16,BG,16091,DALMINE,100,1,151
2013,19,CR,19035,CREMA,176,5,237
2013,108,MB,108030,MEDA,78,0,101
2013,17,BS,17096,LUMEZZANE,39,1,49
2014,15,MI,15206,SENAGO,23,0,28
2014,15,MI,15166,PADERNO DUGNANO,174,2,226
2014,15,MI,15220,TREZZANO SUL NAVIGLIO,71,0,103
2014,108,MB,108050,VIMERCATE,105,2,135
2014,108,MB,108040,SEVESO,47,0,61
2014,12,VA,12040,CASSANO MAGNAGO,71,2,104
2014,15,MI,15081,COLOGNO MONZESE,184,1,243
2014,19,CR,19036,CREMONA,374,4,522
2014,12,VA,12026,BUSTO ARSIZIO,382,3,509
2014,108,MB,108034,MUGGIO',50,0,65
2014,108,MB,108023,DESIO,150,0,215
2014,20,MN,20030,MANTOVA,301,3,408
2014,15,MI,15205,SEGRATE,140,1,186
2014,15,MI,15171,PESCHIERA BORROMEO,33,0,44
2014,108,MB,108027,LIMBIATE,95,0,123
2014,16,BG,16024,BERGAMO,681,3,926
2014,15,MI,15074,CESANO BOSCONE,78,1,101
2014,15,MI,15130,MAGENTA,76,0,91
2014,13,CO,13041,CANTU',117,1,155
2014,15,MI,15157,NOVATE MILANESE,85,1,106
2014,18,PV,18182,VOGHERA,177,0,250
2014,15,MI,15195,SAN GIULIANO MILANESE,63,0,93
2014,13,CO,13143,MARIANO COMENSE,75,1,88
2014,108,MB,108012,BRUGHERIO,111,2,173
2014,20,MN,20017,CASTIGLIONE DELLE STIVIERE,47,2,82
2014,19,CR,19035,CREMA,177,0,237
2014,15,MI,15116,LAINATE,85,0,119
2014,20,MN,20066,VIADANA,57,1,90
2014,15,MI,15189,ROZZANO,154,0,229
2014,15,MI,15036,BUCCINASCO,56,0,66
2014,12,VA,12070,GALLARATE,304,2,403
2014,17,BS,17113,MONTICHIARI,78,3,101
2014,15,MI,15209,SESTO SAN GIOVANNI,126,1,171
2014,108,MB,108039,SEREGNO,179,1,241
2014,16,BG,16091,DALMINE,103,0,144
2014,15,MI,15118,LEGNANO,221,1,310
