ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,C.C.,INDIRIZZO,INSEGNA,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale
7787,MN,20061,Sermide e Felonica,RAMBALDI FAUSTO,SI,VIA DEI CIPRESSI 11,CENTRO COMMERCIALE ARCOBALENO,,1400.00,2554.00,10
10231,MN,20003,Bagnolo San Vito,REE ITALIA   SRL,SI,LOCALITA ZAITA,REE ITALIA,,1500.00,3600.00,10
620,BS,17029,Brescia,SOCIETA' COOPERATIVA DI CONSUMATORI COOP - LOMBARDIA ARL,,"VIA CORSICA, 204",,,2426.00,524.00,10
870,BG,16042,Brusaporto,BARCELLA ARREDAMENTI SAS,,"VIA BAGNATICA, 13",,C,0.00,2350.00,10
9483,BS,17109,Moniga del Garda,SUPERM. ITALMARK,SI,"VIA SAN GIOVANNI, 14",PERGOLA S.R.L.,,1200.00,688.00,10
6395,BG,16193,Sarnico,ITALMARK  S.P.A.,,"V. PREDORE, 27",ITALMARK,,1000.00,670.00,10
9478,BS,17029,Brescia,ITALMARK SPA,SI,"VIALE S. EUFEMIA, 108/E",,,4000.00,5178.00,10
14807,BG,16150,Orio al Serio,ECH ITALIA 2 S.R.L.,SI,"VIA PORTICO, 12",CENTRO COMMERCIALE VIA PORTICO,,0.00,6463.00,10
630,BS,17029,Brescia,SMA SPA,,"VIA SAN ZENO, 76",,,1100.00,1472.00,10
7704,MN,20030,Mantova,COOP ALLEANZA 3.0 SOCIETA COOPERATIVA,SI,"PIAZZALE BECCARIA, 1",LA FAVORITA,,5700.00,6300.00,10
14353,BS,17069,Erbusco,S. NEGOZI S.R.L.,,VIA CANTARANE 4,,C,0.00,4148.00,10
11469,MN,20027,Gonzaga,MAXI DI SRL,SI,"VIA DON LUIGI STURZO, 1",,,1500.00,1000.00,10
13820,BS,17165,Roncadelle,RONCADELLE SHOPPING CENTRE S.R.L.,SI,VIA L. EINAUDI N. 5,ELNOS SHOPPING,,3240.00,59976.00,10
5498,BS,17039,Carpenedolo,ITALMARK SPA,SI,V. A. POZZI,CENTRO COMMERCIALE  ITALMARK,,3500.00,2900.00,10
9817,BS,17127,Ospitaletto,ITALMARK SPA,SI,VIA PADANA SUPERIORE,CENTRO ITALMARK,,2700.00,5502.00,10
14719,SO,14015,Castione Andevenno,EDILBI COMMERCIALE CASTIONE SCARL,SI,VIA DEL PIANO,"CENTRO COMMERCIALE ""I VIGNETI""",,0.00,6100.00,10
2070,BS,17147,Poncarale,ANCILLA SCALVINI SPA,,VIA S.S. 45 BIS 4,,C,0.00,6000.00,10
3833,BS,17166,Rovato,GESTIONE CENTRI COMMERCIALI SPA,,VIA I MAGGIO 36,INTERSPAR,B,4000.00,2500.00,10
