,titleType,primaryTitle,startYear,runtimeMinutes,genres,PolloRating
52883,movie,Obsession: A Taste for Fear,1987,89,"Horror,Mystery,Sci-Fi",0.16978991033453125
85031,movie,Backtime,1998,\N,Sci-Fi,0.16977745877919315
66855,movie,Redboy 13,1997,93,"Adventure,Comedy,Sci-Fi",0.16977745877919315
194706,movie,5 Shells,2012,93,"Drama,Sci-Fi",0.1697669396683677
233603,movie,Iron Girl: Ultimate Weapon,2015,83,"Action,Sci-Fi",0.16976637270198527
162567,movie,Brainjacked,2009,93,"Horror,Sci-Fi",0.16970834190727607
73077,movie,The Secret Kingdom,1998,90,"Adventure,Sci-Fi",0.1696329869330233
214004,movie,Bunker 6,2013,80,"Drama,Sci-Fi,Thriller",0.16958808730429176
97999,movie,Rage of the Innocents,2001,93,"Action,Sci-Fi,Thriller",0.16957429406401656
150361,movie,Bloodsucker's Planet,2019,67,"Horror,Sci-Fi",0.16957429406401656
146720,movie,Lightships,2021,\N,Sci-Fi,0.1695122554317965
134814,movie,Automatons,2006,83,"Horror,Sci-Fi",0.16949845556635698
231779,movie,L'ultimo sole della notte,2017,\N,Sci-Fi,0.16943642452881813
107303,movie,Terminal Error,2002,90,"Sci-Fi,Thriller",0.1693122286438249
47229,movie,The Prodigal Planet,1983,126,"Sci-Fi,Thriller",0.1692276367906852
65515,movie,Spoiler,1998,90,"Action,Sci-Fi",0.1692112354625282
26214,movie,Mistress of the World,1960,113,"Adventure,Crime,Sci-Fi",0.16918853270154102
228509,movie,Dawn (aka. Morgenrøde),2014,70,"Fantasy,Sci-Fi,Thriller",0.16918024438675283
242110,movie,Electric Nostalgia,2016,91,"Drama,Horror,Sci-Fi",0.16909581907046792
174066,movie,Walking with the Tall Whites,2020,82,Sci-Fi,0.16909581907046792
223800,movie,The Veil,2017,93,"Action,Adventure,Sci-Fi",0.16902885753420624
230250,movie,Counter Clockwise,2016,101,"Sci-Fi,Thriller",0.1690076057702889
100127,movie,Hanuman vs. 7 Ultraman,1974,80,"Action,Sci-Fi",0.1689933045396879
32065,movie,Cyborg 009: Underground Duel,1967,60,"Adventure,Animation,Sci-Fi",0.16897076183248524
28457,movie,"No Survivors, Please",1964,93,"Crime,Sci-Fi",0.16894447915508146
203060,movie,The Curse of Babylon,2011,98,"Action,Crime,Sci-Fi",0.16894447915508146
